コード,銘柄名,市場,現在値,前日比(%)
1447,ＳＡＡＦＨＬＤＧ,東G,"352","-64.0 (-15.38%) "
144A,エネルギーパワー,東PRO,"--","-- (--%) "
1450,ＴＡＮＡＫＥＮ,東S,"1,573","-52.0 (-3.20%) "
1452,横浜ライト工業,東PRO,"--","-- (--%) "
1456,ｉＦ日経平均インバース,東ETF,"1,568","+42.0 (+2.75%) "
1457,ｉＦＴＯＰＩＸインバース,東ETF,"1,982","+60.0 (+3.12%) "
1458,楽天ＥＴＦ日経レバレッジ指数,東ETF,"63,240","-4,100.0 (-6.09%) "
1459,楽天ＥＴＦ日経ダブルインバース,東ETF,"184","+12.0 (+6.98%) "
145A,Ｌ　ｉｓ　Ｂ,東G,"801","-40.0 (-4.76%) "
1466,ｉＦＪＰＸ４００ダブルインバ,東ETF,"252","+15.0 (+6.33%) "
1469,ＪＰＸ日経４００ベア２倍,東ETF,"243","+15.1 (+6.63%) "
146A,コロンビア・ワークス,東S,"4,070","-90.0 (-2.16%) "
1472,ＮＦ　ＪＰＸ４００ダブルインバ,東ETF,"101","+6.0 (+6.32%) "
1473,ＤＩＡＭ　ＥＴＦ　トピックス,東ETF,"3,847","-113.0 (-2.85%) "
1474,ＤＩＡＭ　ＪＰＸ日経４００,東ETF,"34,500","-1,150.0 (-3.23%) "
1475,ｉＳコア　ＴＯＰＩＸ,東ETF,"386.9","-13.1 (-3.28%) "
1476,ｉＳコア　Ｊリート,東ETF,"2,057","-24.0 (-1.15%) "
1477,ｉシェアーズＭＳＣＩ最小分散,東ETF,"3,199","-88.0 (-2.68%) "
1478,ｉシェアーズＭＳＣＩ高配当,東ETF,"5,090","-152.0 (-2.90%) "
1479,ｉＦＭＳＣＩ日本株人材設備,東ETF,"47,180","-10.0 (-0.02%) "
147A,ソラコム,東G,"964","-18.0 (-1.83%) "
1480,ＮＦ野村企業価値分配指数連動型,東ETF,"38,530","0.0 (0.00%) "
1481,上場日本経済貢献株,東ETF,"3,503","-48.0 (-1.35%) "
1482,ｉＳ米国債７―１０年円ヘッジ,東ETF,"1,637","-12.0 (-0.73%) "
1483,ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材,東ETF,"3,416","-104.0 (-2.95%) "
1484,Ｏｎｅ設備人材投資,東ETF,"3,422","-82.0 (-2.34%) "
1485,ＭＸＳ積極投資企業２００上場,東ETF,"--","-- (--%) "
1486,上場米国債券（為替ヘッジなし）,東ETF,"24,675","-120.0 (-0.48%) "
1487,上場米国債券（為替ヘッジあり）,東ETF,"12,550","-75.0 (-0.59%) "
1488,ＩＦ上場投信―東証ＲＥＩＴ,東ETF,"2,046","-62.0 (-2.94%) "
1489,ＮＦ日経平均高配当株５０指数,東ETF,"3,257","-114.0 (-3.38%) "
148A,ハッチ・ワーク,東G,"1,890","+20.0 (+1.07%) "
1490,上場ＭＳＣＩベータヘッジ,東ETF,"7,856","-444.0 (-5.35%) "
1491,中外鉱業,東S,"1,146","-21.0 (-1.80%) "
1493,Ｏｎｅ　ＪＰＸ日経中小型,東ETF,"25,180","-405.0 (-1.58%) "
1494,Ｏｎｅ高配当日本株,東ETF,"43,920","-1,300.0 (-2.87%) "
1495,上場アジアリート,東ETF,"11,880","-140.0 (-1.16%) "
1496,ｉＳ米ドルＩＧ社債ヘッジ,東ETF,"1,733","-8.0 (-0.46%) "
1497,ｉＳ米ドルＨＹ社債ヘッジ,東ETF,"1,785","0.0 (0.00%) "
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,東ETF,"30,790","-1,100.0 (-3.45%) "
1499,ＭＸＳ日本株高配当７０ＭＮ,東ETF,"9,317","-79.0 (-0.84%) "
149A,シンカ,東G,"722","+13.0 (+1.83%) "
150A,ＪＳＨ,東G,"398","-2.0 (-0.50%) "
1514,住石ＨＬＤＧ,東S,"937","-35.0 (-3.60%) "
1515,日鉄鉱業,東P,"4,015","-220.0 (-5.19%) "
1518,三井松島ＨＬＤＧ,東P,"1,458","-48.0 (-3.19%) "
151A,ダイブ,東G,"658","-11.0 (-1.64%) "
152A,オプティ,東PRO,"--","-- (--%) "
153A,カウリス,東G,"1,017","-51.0 (-4.78%) "
1540,純金上場信託,東ETF,"25,460","-205.0 (-0.80%) "
1541,純プラチナ上場信託,東ETF,"10,265","-1,000.0 (-8.88%) "
1542,純銀上場信託,東ETF,"39,490","-4,330.0 (-9.88%) "
1543,純パラジウム上場信託,東ETF,"77,870","-3,430.0 (-4.22%) "
1545,ＮＦ　ＮＡＳＤＡＱ―１００ヘな,東ETF,"39,310","+250.0 (+0.64%) "
1546,ＮＦダウ・ジョーンズ工業株３０,東ETF,"74,430","+300.0 (+0.40%) "
1547,上場米国株式Ｓ＆Ｐ５００,東ETF,"11,625","+60.0 (+0.52%) "
154A,ＧＡＩＡ,東PRO,"--","-- (--%) "
1550,ＭＸＳ外株（ＭＳＣＩコクサイ）,東ETF,"7,300","+5.0 (+0.07%) "
1551,東証スタンダードＴＯＰ２０,東ETF,"6,969","-107.0 (-1.51%) "
1553,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信,名ETF,"5,375","0.0 (0.00%) "
1554,上場ＭＳＣＩ世界株式除く日本,東ETF,"6,115","-3.0 (-0.05%) "
1555,上場豪州リート,東ETF,"2,466","-34.0 (-1.36%) "
1557,ＳＳ　Ｓ＆Ｐ　５００　ＥＴＦ,東ETF,"107,100","+400.0 (+0.37%) "
1559,ＮＦタイ株式ＳＥＴ５０指数,東ETF,"4,564","-86.0 (-1.85%) "
155A,情報戦略テクノロジー,東G,"927","+19.0 (+2.09%) "
1560,ＮＦ　ＦＴＳＥブルサＫＬＣＩ,東ETF,"6,837","-163.0 (-2.33%) "
1563,東証グロース・コアＥＴＦ,東ETF,"2,345","-60.0 (-2.49%) "
1566,上場新興国債券,東ETF,"55,140","-110.0 (-0.20%) "
1568,ＴＯＰＩＸブル２倍上場投信,東ETF,"863.4","-60.6 (-6.56%) "
1569,ＴＯＰＩＸベア上場投信,東ETF,"828.2","+25.4 (+3.16%) "
156A,マテリアルグループ,東G,"898","-12.0 (-1.32%) "
1570,ＮＦ日経レバ連動型上場投信,東ETF,"53,190","-3,390.0 (-5.99%) "
1571,ＮＦ日経インバ連動型上場投信,東ETF,"370","+11.0 (+3.06%) "
1572,中国Ｈ株ブル２倍上場投信,東ETF,"7,274","-166.0 (-2.23%) "
1573,中国Ｈ株ベア上場投信,東ETF,"8,349","+94.0 (+1.14%) "
1577,ＮＦ野村日本株高配当７０連動型,東ETF,"55,640","-1,600.0 (-2.80%) "
1578,上場日経２２５（ミニ）,東ETF,"4,496","-120.0 (-2.60%) "
1579,日経平均ブル２倍上場投信,東ETF,"573.3","-35.5 (-5.83%) "
157A,グリーンモンスター,東G,"1,062","-24.0 (-2.21%) "
1580,日経平均ベア上場投信,東ETF,"980.7","+28.2 (+2.96%) "
1585,ｉＦＴＰＸ　Ｅｘ−Ｆｉｎ,東ETF,"2,535.5","-64.5 (-2.48%) "
1586,上場ＴＯＰＩＸ　Ｅｘ−Ｆｉｎ,東ETF,"2,920","-87.0 (-2.89%) "
158A,エクセリ,東PRO,"--","-- (--%) "
1591,ＮＦ　ＪＰＸ日経４００連動型,東ETF,"34,380","-960.0 (-2.72%) "
1592,上場ＪＰＸ日経４００,東ETF,"3,130","-108.0 (-3.34%) "
1593,ＭＡＸＩＳ　ＪＰＸ日経４００,東ETF,"35,250","-1,060.0 (-2.92%) "
1595,ＮＺＡＭ東証ＲＥＩＴ指数,東ETF,"2,038","-28.0 (-1.36%) "
1596,ＮＺＡＭ　ＴＯＰＩＸ　Ｅｘ−Ｆ,東ETF,"2,851","0.0 (0.00%) "
1597,ＭＡＸＩＳ　Ｊリート上場投信,東ETF,"2,074","-17.0 (-0.81%) "
1599,ｉＦ　ＪＰＸ日経４００,東ETF,"35,060","-790.0 (-2.20%) "
159A,ＮＦ　ＪＰＸプライム１５０,東ETF,"668.4","-28.1 (-4.03%) "
1605,ＩＮＰＥＸ,東P,"4,017","-14.0 (-0.35%) "
160A,アズパートナーズ,東S,"2,337","-85.0 (-3.51%) "
1615,ＮＦ銀行業指数投信,東ETF,"603","-28.9 (-4.57%) "
1617,ＮＦ食品ＴＰＸ１７,東ETF,"45,680","-1,080.0 (-2.31%) "
1618,ＮＦエネルギー資源ＴＰＸ１７,東ETF,"38,320","-1,600.0 (-4.01%) "
1619,ＮＦ建設・資材ＴＰＸ１７,東ETF,"50,820","-1,860.0 (-3.53%) "
161A,三葉,東PRO,"--","-- (--%) "
1620,ＮＦ素材・化学ＴＰＸ１７,東ETF,"36,100","-1,500.0 (-3.99%) "
1621,ＮＦ医薬品ＴＰＸ１７,東ETF,"32,600","-550.0 (-1.66%) "
1622,ＮＦ自動車・輸送機ＴＰＸ１７,東ETF,"38,200","-3,710.0 (-8.85%) "
1623,ＮＦ鉄鋼・非鉄ＴＰＸ１７,東ETF,"67,040","-2,960.0 (-4.23%) "
1624,ＮＦ機械ＴＰＸ１７,東ETF,"95,660","-2,160.0 (-2.21%) "
1625,ＮＦ電機・精密ＴＰＸ１７,東ETF,"52,310","-2,350.0 (-4.30%) "
1626,ＮＦ情報通信サービスＴＰＸ１７,東ETF,"37,100","-1,980.0 (-5.07%) "
1627,ＮＦ電力・ガスＴＰＸ１７,東ETF,"12,820","-115.0 (-0.89%) "
1628,ＮＦ運輸・物流ＴＰＸ１７,東ETF,"22,250","-265.0 (-1.18%) "
1629,ＮＦ商社・卸売ＴＰＸ１７,東ETF,"142,350","-1,900.0 (-1.32%) "
162A,ＡＩセレクトメガトレンドＥＴＮ,東ETF,"14,645","-795.0 (-5.15%) "
1630,ＮＦ小売ＴＰＸ１７,東ETF,"37,760","-1,380.0 (-3.53%) "
1631,ＮＦ銀行ＴＰＸ１７,東ETF,"32,350","-900.0 (-2.71%) "
1632,ＮＦ金融（除く銀行）ＴＰＸ１７,東ETF,"36,670","-1,280.0 (-3.37%) "
1633,ＮＦ不動産ＴＰＸ１７,東ETF,"62,610","-2,490.0 (-3.82%) "
163A,半導体フォーカス日本株ＥＴＮ,東ETF,"15,245","-555.0 (-3.51%) "
164A,アップルパーク,東PRO,"--","-- (--%) "
1651,ｉＦ　ＴＯＰＩＸ高配当４０,東ETF,"3,021","-79.0 (-2.55%) "
1652,ｉＦ　ＭＳＣＩ日本株女性活躍,東ETF,"--","-- (--%) "
1653,ｉＦ　ＭＳＣＩＥＳＧセレクト,東ETF,"--","-- (--%) "
1654,ｉＦ　ＦＴＳＥＪＰＸブロッサム,東ETF,"--","-- (--%) "
1655,ｉＳ　Ｓ＆Ｐ５００米国株,東ETF,"772.8","+3.9 (+0.51%) "
1656,ｉＳコア米国債７―１０年,東ETF,"320.6","-1.6 (-0.50%) "
1657,ｉＳコアＭＳＣＩ先進国株,東ETF,"6,544","+7.0 (+0.11%) "
1658,ｉＳコアＭＳＣＩ新興国株,東ETF,"3,910","-103.0 (-2.57%) "
1659,ｉＳ米国リート,東ETF,"3,678","+39.0 (+1.07%) "
1660,ＭＸＳ高利回りＪリート,東ETF,"11,675","-165.0 (-1.39%) "
1662,石油資源開発,東P,"2,582","-87.0 (-3.26%) "
1663,Ｋ＆Ｏエナジーグループ,東P,"5,250","-150.0 (-2.78%) "
166A,タスキＨＬＤＧ,東G,"881","-35.0 (-3.82%) "
1671,ＷＴＩ原油価格連動型上場投信,東ETF,"3,795","+42.0 (+1.12%) "
1672,ＷＴ　金,東ETF,"77,680","-670.0 (-0.86%) "
1673,ＷＴ　銀,東ETF,"12,355","-1,230.0 (-9.05%) "
1674,ＷＴ　白金,東ETF,"31,870","-2,300.0 (-6.73%) "
1675,ＷＴ　パラジウム,東ETF,"25,225","-925.0 (-3.54%) "
1676,ＷＴ　貴金属バスケット,東ETF,"52,890","-2,110.0 (-3.84%) "
1677,上場インデックスファンド外債,東ETF,"60,860","-380.0 (-0.62%) "
1678,ＮＦインドＮＩＦＴＹ５０,東ETF,"329.6","-4.9 (-1.46%) "
1679,ＮＹダウ・インデックス上場投信,東ETF,"61,690","+590.0 (+0.97%) "
167A,リョーサン菱洋ＨＬＤＧ,東P,"3,300","-150.0 (-4.35%) "
1680,上場ＭＳＣＩ―ＫＯＫＵＳＡＩ,東ETF,"7,461","+15.0 (+0.20%) "
1681,上場ＭＳＣＩ　エマージング,東ETF,"2,994","-101.0 (-3.26%) "
1684,ＷＴ　ブロード,東ETF,"2,255.5","-0.5 (-0.02%) "
1685,ＷＴ　エネルギー,東ETF,"684.2","+72.5 (+11.85%) "
1686,ＷＴ　産業用金属,東ETF,"2,926","-1.5 (-0.05%) "
1687,ＷＴ　農産物,東ETF,"941","0.0 (0.00%) "
1688,ＷＴ　穀物,東ETF,"548","-4.7 (-0.85%) "
1689,ＷＴ　天然ガス,東ETF,"958","+35.0 (+3.79%) "
168A,イタミアート,東G,"1,320","-7.0 (-0.53%) "
1690,ＷＴ　ＷＴＩ　原油,東ETF,"1,846","-154.0 (-7.70%) "
1691,ＷＴ　ガソリン,東ETF,"9,750","+155.0 (+1.62%) "
1692,ＷＴ　アルミニウム,東ETF,"655","-4.4 (-0.67%) "
1693,ＷＴ　銅,東ETF,"8,111","-150.0 (-1.82%) "
1694,ＷＴ　ニッケル,東ETF,"2,370.5","-90.0 (-3.66%) "
1695,ＷＴ　小麦,東ETF,"3,009","-78.0 (-2.53%) "
1696,ＷＴ　とうもろこし,東ETF,"2,953","-8.0 (-0.27%) "
1697,ＷＴ　大豆,東ETF,"4,496","+58.0 (+1.31%) "
1698,上場東証配当フォーカス１００,東ETF,"4,178","-75.0 (-1.76%) "
1699,ＮＦ原油インデックス連動型上場,東ETF,"477.7","+3.8 (+0.80%) "
170A,ＳＭＴ日本好配当株アクティブ,東ETF,"2,900","-84.0 (-2.82%) "
1711,ＳＤＳＨＬＤＧ,東S,"288","-12.0 (-4.00%) "
1716,第一カッター興業,東S,"1,589","-21.0 (-1.30%) "
1717,明豊ファシリティワークス,東S,"1,068","-21.0 (-1.93%) "
1718,美樹工業,東S,"8,150","-120.0 (-1.45%) "
1719,安藤・間,東P,"2,055","-43.5 (-2.07%) "
171A,ゼロジャパン,東PRO,"--","-- (--%) "
1720,東急建設,東P,"1,653","-1.0 (-0.06%) "
1721,コムシスＨＬＤＧ,東P,"5,559","-97.0 (-1.71%) "
1723,日本電技,東S,"11,930","-260.0 (-2.13%) "
1724,シンクレイヤ,東S,"717","-26.0 (-3.50%) "
1726,ビーアールＨＬＤＧ,東P,"528","-2.0 (-0.38%) "
172A,ネオホーム,東PRO,"--","-- (--%) "
1736,オーテック,東S,"2,492","-88.0 (-3.41%) "
1738,ＮＩＴＴＯＨ,名M,"670","-10.0 (-1.47%) "
173A,ハンモック,東G,"1,463","+13.0 (+0.90%) "
1758,太洋基礎工業,東S,"2,611","-68.0 (-2.54%) "
175A,Ｗｉｌｌ　Ｓｍａｒｔ,東G,"753","-30.0 (-3.83%) "
1762,高松コンストラクショングループ,東P,"3,935","-115.0 (-2.84%) "
1764,工藤建設,東S,"3,300","-55.0 (-1.64%) "
1766,東建コーポレーション,東P,"14,910","-160.0 (-1.06%) "
1768,ソネック,東S,"1,567","-64.0 (-3.92%) "
1770,藤田エンジニアリング,東S,"1,900","-50.0 (-2.56%) "
1773,ワイ・ティー・エル,東P,"77","-2.0 (-2.53%) "
1776,三井住建道路,東S,"1,638","-42.0 (-2.50%) "
1777,川崎設備工業,名M,"2,835","-85.0 (-2.91%) "
177A,コージンバイオ,東G,"1,211","-51.0 (-4.04%) "
1780,ヤマウラ,東P,"1,620","-40.0 (-2.41%) "
1783,ｆａｎｔａｓｉｓｔａ,東S,"67","-2.0 (-2.90%) "
1786,オリエンタル白石,東P,"405","-16.0 (-3.80%) "
1787,ナカボーテック,東S,"6,500","+60.0 (+0.93%) "
1788,三東工業社,東S,"5,420","+20.0 (+0.37%) "
178A,ＧＸ　革新的優良企業,東ETF,"1,431","+7.0 (+0.49%) "
1793,大本組,東S,"1,966","-110.0 (-5.30%) "
1795,マサル,東S,"4,725","+110.0 (+2.38%) "
1798,守谷商会,東S,"6,950","-130.0 (-1.84%) "
1799,第一建設工業,東S,"4,275","-50.0 (-1.16%) "
179A,ＧＸ　超長期米国債　有,東ETF,"265.1","-2.4 (-0.90%) "
1801,大成建設,東P,"19,870","-520.0 (-2.55%) "
1802,大林組,東P,"4,148","-156.0 (-3.62%) "
1803,清水建設,東P,"3,515","-63.0 (-1.76%) "
1807,佐藤渡辺,東S,"2,051","-40.0 (-1.91%) "
1808,長谷工コーポレーション,東P,"3,253","-106.0 (-3.16%) "
180A,ＧＸ　 超長期米国債,東ETF,"302.4","-2.4 (-0.79%) "
1810,松井建設,東S,"1,803","-107.0 (-5.60%) "
1811,錢高組,東S,"9,200","-210.0 (-2.23%) "
1812,鹿島建設,東P,"6,821","-193.0 (-2.75%) "
1813,不動テトラ,東P,"3,795","-130.0 (-3.31%) "
1814,大末建設,東P,"4,210","-240.0 (-5.39%) "
1815,鉄建建設,東P,"4,790","-155.0 (-3.13%) "
181A,ＭＸＳ米国国債１−３ヘッジなし,東ETF,"--","-- (--%) "
1820,西松建設,東P,"6,679","-142.0 (-2.08%) "
1822,大豊建設,東S,"870","-36.0 (-3.97%) "
1826,佐田建設,東S,"1,241","-21.0 (-1.66%) "
1827,ナカノフドー建設,東S,"1,629","-2.0 (-0.12%) "
1828,田辺工業,東S,"2,878","-68.0 (-2.31%) "
182A,ＭＸＳ米国国債２０年超ヘッジ無,東ETF,"526.1","-4.2 (-0.79%) "
1833,奥村組,東P,"7,070","-110.0 (-1.53%) "
1835,東鉄工業,東P,"5,640","-140.0 (-2.42%) "
183A,ＭＸＳ米国国債２０年超ヘッジ有,東ETF,"474.6","-0.9 (-0.19%) "
1840,土屋ＨＬＤＧ,東S,"243","-6.0 (-2.41%) "
1841,サンユー建設,東S,"1,586","+1.0 (+0.06%) "
1844,大盛工業,東S,"536","-22.0 (-3.94%) "
1847,イチケン,東S,"6,340","-130.0 (-2.01%) "
1848,富士ピー・エス,東S,"625","-15.0 (-2.34%) "
184A,学びエイド,東G,"385","-4.0 (-1.03%) "
1850,南海辰村建設,東S,"535","-18.0 (-3.25%) "
1852,淺沼組,東P,"1,084","-49.0 (-4.32%) "
1853,森組,東S,"344","-2.0 (-0.58%) "
185A,リサイクルテック・ジャパン,東PRO,"--","-- (--%) "
1860,戸田建設,東P,"1,572","-37.5 (-2.33%) "
1861,熊谷組,東P,"1,899","-91.0 (-4.57%) "
1866,北野建設,東S,"1,460","-45.0 (-2.99%) "
1867,植木組,東S,"3,200","-5.0 (-0.16%) "
1869,名工建設,名M,"1,960","-27.0 (-1.36%) "
186A,アストロスケールＨＬＤＧ,東G,"1,020","-49.0 (-4.58%) "
1870,矢作建設工業,東P,"2,385","-87.0 (-3.52%) "
1871,ピーエス・コンストラクション,東P,"3,315","-220.0 (-6.22%) "
1873,日本ハウスＨＬＤＧ,東P,"317","-6.0 (-1.86%) "
1878,大東建託,東P,"3,532","-50.0 (-1.40%) "
1879,新日本建設,東P,"2,054","-82.0 (-3.84%) "
1882,東亜道路工業,東P,"1,881","-68.0 (-3.49%) "
1885,東亜建設工業,東P,"3,920","-235.0 (-5.66%) "
1887,日本国土開発,東P,"660","-19.0 (-2.80%) "
1888,若築建設,東P,"4,705","-125.0 (-2.59%) "
188A,ＧＸ　インド・トップ１０＋,東ETF,"916","-23.0 (-2.45%) "
1892,徳倉建設,名M,"--","-- (--%) "
1893,五洋建設,東P,"2,035.5","-110.0 (-5.13%) "
1897,金下建設,東S,"3,350","-45.0 (-1.33%) "
1898,世紀東急工業,東P,"1,661","-27.0 (-1.60%) "
1899,福田組,東P,"7,860","+10.0 (+0.13%) "
189A,Ｄ＆Ｍカンパニー,東G,"926","-26.0 (-2.73%) "
1904,大成温調,東S,"5,180","-60.0 (-1.15%) "
1905,テノックス,東S,"1,450","-32.0 (-2.16%) "
1909,日本ドライケミカル,東S,"12,660","+30.0 (+0.24%) "
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ,東G,"130","-23.0 (-15.03%) "
1911,住友林業,東P,"1,563","-109.5 (-6.55%) "
1914,日本基礎技術,東S,"750","-20.0 (-2.60%) "
191A,ミモザ,東PRO,"--","-- (--%) "
1921,巴コーポレーション,東S,"2,003","-24.0 (-1.18%) "
1925,大和ハウス工業,東P,"5,452","-127.0 (-2.28%) "
1926,ライト工業,東P,"4,215","-110.0 (-2.54%) "
1928,積水ハウス,東P,"3,670","-142.0 (-3.73%) "
1929,日特建設,東P,"1,381","-54.0 (-3.76%) "
192A,インテグループ,東G,"1,926","-9.0 (-0.47%) "
1930,北陸電気工事,東P,"1,755","-43.0 (-2.39%) "
1934,ユアテック,東P,"2,962","-108.0 (-3.52%) "
1938,日本リーテック,東P,"3,025","-125.0 (-3.97%) "
1939,四電工,東P,"1,991","-79.0 (-3.82%) "
1941,中電工,東P,"4,930","-210.0 (-4.09%) "
1942,関電工,東P,"6,690","-200.0 (-2.90%) "
1944,きんでん,東P,"8,312","-79.0 (-0.94%) "
1945,東京エネシス,東P,"1,869","-34.0 (-1.79%) "
1946,トーエネック,東P,"2,287","-77.0 (-3.26%) "
1948,弘電社,東S,"6,510","-310.0 (-4.55%) "
1949,住友電設,東P,"--","-- (--%) "
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,東G,"1,799","-55.0 (-2.97%) "
1950,日本電設工業,東P,"4,990","-340.0 (-6.38%) "
